step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
85,168,95.0005972977122,7869.82936558919,7514.59650656786,-152.362916288707,6828.7488068258,5.48588624835489,6.77553072972731,-177.429495109677,40,0,0,0,0.561020613362755,0.738789121256168,0,0,1,
86,170,94.6962982111918,7869.73759520308,7514.51471464679,-151.932992846136,6814.01183949577,5.49279308673531,6.86424506787947,-177.329494588449,40,0,0,0,0.565929105661081,0.77423195394407,0,0,1,
87,172,94.3928771927292,7869.6227982379,7514.40975099756,-151.484697643294,6799.27424544805,5.49975223356102,6.95293738201993,-177.229452373802,40,0,0,0,0.570855766323497,0.811100118654771,0,0,1,
88,174,94.0903718457809,7869.48403651504,7514.28067427738,-151.017160200361,6784.53651891836,5.50675921505299,7.04160776297903,-177.129365484993,40,0,0,0,0.575807748204884,0.849473578966192,0,0,1,
89,176,93.7888215703741,7869.32032468406,7514.12649580165,-150.529455499722,6769.79841530612,5.51382541374465,7.13025529587821,-177.029233932992,40,0,0,0,0.580790172659518,0.889429050379818,0,0,1,
90,178,93.4882676691776,7869.13062916468,7513.94617849654,-150.020606220716,6755.06002241098,5.5209405753438,7.21887957422891,-176.929055705437,40,0,0,0,0.585806420206559,0.931030888857948,0,0,1,
91,180,93.1887534461888,7868.91385648242,7513.73862522559,-149.489592121476,6740.32121446038,5.528105259113,7.30747970327648,-176.828832940397,40,0,0,0,0.590786898764216,0.974419091631476,0,0,1,
92,182,92.8903242806075,7868.6688659836,7513.50269152659,-148.93535365121,6725.58226721272,5.53531756447113,7.39605589261377,-176.728564768592,40,0,0,0,0.595796364294011,1.01957501013684,0,0,1,
93,184,92.5930277247969,7868.39451473246,7513.23723051253,-148.356779427877,6710.84311620096,5.54258883969712,7.48460606163293,-176.62825118093,40,0,0,0,0.600843221345633,1.06653734025263,0,0,1,
94,186,92.2969135943446,7868.0896355794,7512.94107092619,-147.752718847515,6696.10392377094,5.54991810191454,7.57313041313775,-176.527893381444,40,0,0,0,0.605928467116768,1.11533385183597,0,0,1,
95,188,92.00203404098,7867.75303884328,7512.61301884985,-147.121986482232,6681.36481044327,5.55730023077018,7.66162854973203,-176.427487185628,40,0,0,0,0.611049447409579,1.16599242734925,0,0,1,
96,190,91.708443616013,7867.38352621827,7512.25187163275,-146.463371830714,6666.62545628706,5.56473466158602,7.75009781011011,-176.327036945892,40,0,0,0,0.616204512813618,1.21852674386281,0,0,1,
97,192,91.4161993173063,7866.97987903181,7511.85640609798,-145.775634944318,6651.88644978349,5.57222093199524,7.83854016249541,-176.22654175277,40,0,0,0,0.621391575085001,1.27294475100325,0,0,1,
98,194,91.1253606439866,7866.54088033505,7511.42540070142,-145.057518644714,6637.14760763133,5.57976013586736,7.92695227517449,-176.125999523794,40,0,0,0,0.626606578688467,1.32925021345616,0,0,1,
99,196,90.835989624762,7866.06530908684,7510.95762966822,-144.307748670918,6622.40898896643,5.58736135145017,8.01533612672461,-176.02541037235,40,0,0,0,0.631846585278696,1.38745037705661,0,0,1,
100,198,90.5481508788587,7865.55190451555,7510.451827364,-143.525001164572,6607.67050095966,5.59501552528994,8.10368845317285,-175.924777686831,40,0,0,0,0.637114242979723,1.44763305029568,0,0,1,
