mode,time,alt,speed,mach,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,85108.9341907227,102.478989288508,7987.12620246719,27.1164827862271,-112.467675064267,6637.35300178535,71.7414191319557,-22.7622382625808,38.0150239549853,-0.0155771713089187,6637.35300178535,-18.6523927556336,-14.3198161177938,54.9532548061191,0.987901487103118,
1,85112.1941907233,102.113040037262,7987.2052344013,27.1712160607086,-112.043397195635,6612.99752202766,71.8683520496437,-23.3781980779403,38.0139134071248,-0.00212777327013935,6612.99752202766,29.9020061904903,-14.3785325776792,55.1773488054733,0.995957350595199,
1,85115.414190724,101.75295727204,7987.26550126159,27.2246904582756,-111.610911362191,6588.64688460764,71.9918722380869,-23.9946372845266,38.0137844288322,0.0251872727159268,6588.64688460764,-19.6055790569444,-14.437682553986,55.0135902517179,0.986001079342627,
1,85118.6341907246,101.394287304481,7987.30950290409,27.277959639136,-111.167496784711,6564.30122372637,72.1135093043777,-24.6191071412557,38.0139841799955,0.00558312797028766,6564.30122372637,-9.72721714834552,-14.497312621753,54.964430391598,0.989280808321096,
1,85121.8941907253,101.032640540959,7987.33326601011,27.3320567249428,-110.70255376727,6539.96067347566,72.2346986316618,-25.2595532114836,38.0158777816257,-0.0123997526948458,6539.96067347566,20.8798590176848,-14.5574325165243,55.11787556671,0.990243800853722,
1,85125.114190726,100.676944062047,7987.33684452025,27.3860237496537,-110.228869900812,6515.62538069067,72.3524258051814,-25.9002901646546,38.0149275207104,-0.000628158670575596,6515.62538069067,-7.2154655297627,-14.6180030968479,55.0484070053249,0.991481830399794,
1,85128.4141907266,100.314020964183,7987.31714791928,27.4422700018494,-109.725415386273,6488.86279903503,72.4709986590996,-26.5653746880652,38.0149379014419,0.0236933029392053,6488.86279903503,16.5219865021409,-14.6851457390217,55.1691184261805,0.989406781092181,
1,85131.6541907273,99.9593368344335,7987.27651504935,27.4987801628781,-109.216257643139,6464.53901650975,72.5853258405149,-27.2266852924628,38.0161033990633,-0.0100366601299428,6464.53901650975,-1.66043388536218,-14.7467156244472,55.1423202484389,0.99126809621068,
1,85134.994190728,99.5954882398211,7987.21387964592,27.5571988324325,-108.651025576705,6438.70125206615,72.7009692318677,-27.917045612854,38.0242008447767,-8.97897754665959,6438.70125206615,-57.2873239411156,-14.8118485660836,54.7477180517028,1.02924864074297,
1,85138.3141907286,99.2353268128196,7987.14393888582,27.6146047318175,-108.154073361954,6415.45288420863,72.8136483508445,-28.6119674981151,37.1555274958388,-24.6843863799169,6412.87006446401,25.2843163155312,-14.8778218174283,54.9727123876787,0.990044571263142,
1,85141.6741907293,98.8724349489994,7987.04530587622,27.6719662137761,-107.663369424196,6389.62766817551,72.925330628258,-29.324085822602,38.0716639777185,-40.0008223653738,6389.62766817551,5.97851849482322,-14.9370904754758,54.9913461791683,0.978772122369986,
1,85145.01419073,98.5130586657813,7986.89896668821,27.7281620199767,-107.202814313726,6363.80926666172,73.0339507749982,-30.0407473168591,37.927101692863,-55.5890304120478,6363.80926666172,-20.4606041292545,-15.0028150409245,54.8448348394659,0.977024095355459,
1,85148.3541907307,98.1550902403705,7986.71594188172,27.783586255106,-106.736602342644,6337.99783447071,73.1401309231057,-30.7661391128559,37.8044652822592,-70.1471798003932,6337.99783447071,-20.8428225604675,-15.0685933419936,54.719434594135,0.97166908412011,
1,85151.6941907314,97.7991750311488,7986.47320014547,27.8381731620652,-106.32116286072,6312.19355697555,73.2438218157285,-31.5002228821862,37.8993246247442,-73.4161825125961,6312.19355697555,-33.7275281877401,-15.1341495215769,54.5054963361241,0.968378606501353,
1,85155.0541907321,97.4425409090258,7986.1911082877,27.8922894391967,-105.961710357812,6286.39666530507,73.345571835421,-32.2474207172162,37.8346063863857,-73.455573577747,6286.39666530507,-12.6823875879309,-15.1997758328245,54.4481923146997,0.966883833068294,
1,85158.4541907328,97.0829033036996,7985.87081113622,27.9450210431052,-105.602754139102,6260.60733985854,73.4458681296818,-33.0123495224182,37.9574561268843,-73.1908736391541,6260.60733985854,18.3306463710014,-15.265713370294,54.586032211446,0.969719298186694,
1,85161.7741907334,96.7328935683528,7985.52068226457,27.99382055615,-105.250537037827,6237.40359003651,73.5411690437602,-33.767780092198,38.050579619432,-73.2214408439182,6234.82579130641,28.9759462886395,-15.3319640105995,54.7693363802271,0.971979613017124,
1,85165.1541907341,96.3777597223334,7985.12217487483,28.0407000407317,-104.884390256253,6211.62921253961,73.6360179107393,-34.5500264374473,38.0661824086142,-73.3395549444007,6211.62921253961,36.2534030820179,-15.391850534851,54.9932780841238,0.986133194977397,
1,85168.5541907348,96.0217821327969,7984.67686210945,28.0855919278978,-104.510691154546,6185.86301417694,73.7275026536218,-35.336202882185,38.0459684331508,-73.5464649754166,6185.86301417694,12.7144097486071,-15.4586570457833,55.0486719449865,0.977000401348515,
1,85171.9341907355,95.6691963084107,7984.18665612718,28.1300892340819,-104.121353682071,6160.1052090575,73.8161403043836,-36.1307642099218,38.0314372086755,-73.5994122067798,6160.1052090575,22.4842084689699,-15.5257657118921,55.1922486147811,0.983719057688799,
1,85175.2741907362,95.3220637178887,7983.65579410338,28.1738058663047,-103.741737709,6134.35603143915,73.9008844801962,-36.924025388701,38.0184476662484,-73.7367790466894,6134.35603143915,10.3378220063078,-15.5931283806701,55.2433656188607,0.991008824526582,
1,85178.6741907369,94.9700219003903,7983.0607876551,28.2176874959982,-103.339954536177,6108.61571307652,73.9841985157094,-37.7396578684835,38.0392944827958,-73.7794307203939,6108.61571307652,23.5174489853453,-15.6607677920594,55.3960993953989,0.990633873416853,
1,85182.0141907376,94.6255259790244,7982.41780285968,28.2598297095747,-102.945417576009,6082.88451223543,74.0630951441828,-38.5487100395105,38.0606333360836,-73.9269780361506,6082.88451223543,-4.11058704494189,-15.728620625836,55.3466202719095,0.991422397247906,
1,85185.3541907382,94.282377766829,7981.71436365596,28.3006793968074,-102.535109399455,6057.16269654166,74.1390252157527,-39.3653274931216,38.0655943581078,-73.8772157098629,6057.16269654166,-4.02945604492106,-15.7967225435093,55.3225164077957,0.980982641192374,
1,85188.6341907389,93.946741072041,7980.96222016081,28.3392067813666,-102.125483586838,6034.02131199848,74.2106610363804,-40.1744511033186,38.0513584350285,-73.8582514599899,6031.45053761149,-1.63670852213727,-15.8650311629233,55.3148846452504,0.980246841880151,
1,85191.9741907396,93.6063605674263,7980.13409043392,28.3765077059264,-101.697233089509,6008.3180828625,74.2805804244188,-41.005477887147,38.0020842993708,-73.8620857437196,6008.3180828625,3.62779187182605,-15.9266820839993,55.3413799896486,0.982269608723022,
1,85195.3741907403,93.2613460733872,7979.22512575537,28.4121364463928,-101.252223386906,5982.62503398903,74.3485750056527,-41.8585646571642,37.987235195015,-73.8860674116543,5982.62503398903,21.7492573886329,-15.9953555529215,55.4878650623743,0.987600602301853,
1,85198.714190741,92.9238953677919,7978.26173009446,28.4444973007978,-100.812431547354,5956.94245215525,74.4122027493281,-42.7033595650589,37.9659705254503,-74.0354562083576,5956.94245215525,-0.205113547604924,-16.0641664291368,55.4669148862398,0.994454717809162,
1,85202.0541907416,92.5879509663647,7977.22090661655,28.4739012822287,-100.354771519569,5931.2706332125,74.4726511123547,-43.5546003555154,38.0040389526159,-74.0239787433822,5931.2706332125,1.10682666721459,-16.1331289747879,55.4747342356573,0.987015959294578,
1,85205.4141907423,92.2515501693897,7976.09123002637,28.5001707300637,-99.8853429997421,5905.60990490234,74.5302138708408,-44.417168264049,37.999555621744,-74.0513948353026,5905.60990490234,1.80024422105089,-16.202183762472,55.4861548237994,0.99312937231977,
1,85208.774190743,91.9167459341697,7974.87639163155,28.5228138136097,-99.40393214035,5879.96059083373,74.5844810738261,-45.2856937511725,37.992272470217,-74.0658956800505,5879.96059083373,-2.11544819015126,-16.2713214636237,55.4699659807207,0.991982194575938,
1,85212.0941907437,91.5875379109187,7973.59058104989,28.5413322607959,-98.9160747471317,5856.88624446325,74.6348293387438,-46.1494315800152,37.9655269038895,-74.05580028677,5856.88624446325,-1.24509163677158,-16.3336024995121,55.463281897665,0.992158687250531,
