step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
121,600,82.2950090850675,7546.60260105265,30.3503179891395,5089.25435793087,75.3963035365739,-76.9829397251168,30,-60,0,0,-16.5207698950698,0,1.16249796703875,
122,605,82.4431115122186,7541.03576659774,28.875510528375,5054.00740930601,75.2875452041898,-78.2346288644218,30,-60,0,0,-16.5998519718131,0,1.15941423444315,
123,610,82.5834599961871,7535.60091217646,27.2499154117572,5018.80835346595,75.1722215431407,-79.4668309417012,30,-60,0,0,-16.6816887703264,0,1.15631949536292,
124,615,82.715321659687,7530.28920530076,25.4819605173602,4983.65765717417,75.0505028815795,-80.6789969768325,30,-60,0,0,-16.7662603210031,0,1.1532646401375,
125,620,82.838005511784,7525.09189659919,23.5799670706305,4948.55499706646,74.9225633317689,-81.8706469419676,30,-60,0,0,-16.8535030459885,0,1.15029878419866,
126,625,82.9508618505346,7520.00033039093,21.5521288665713,4913.50060030172,74.7885788436179,-83.041390871495,30,-60,0,0,-16.9433920000728,0,1.14747081214915,
127,630,83.0532816166542,7515.00593027988,19.4065065725023,4878.49463674641,74.6487238516695,-84.1909208465697,30,-60,0,0,-17.0358263871343,0,1.1448235825719,
128,635,83.1446957026469,7510.10020106513,17.1510257445258,4843.53711459998,74.5031735915594,-85.3190036381553,30,-60,0,0,-17.1308481493785,0,1.14239744845475,
129,640,83.2245742864786,7505.27472330999,14.7934624609976,4808.62817180141,74.3521043624526,-86.425469524127,30,-60,0,0,-17.22837219659,0,1.14023054024325,
130,645,83.2924260826921,7500.5211088394,12.341470011636,4773.76829141772,74.1956861951206,-87.5102233069559,30,-60,0,0,-17.3283489097742,0,1.13835460030585,
131,650,83.347797786193,7495.83099574366,9.80258613964958,4738.95742639802,74.034092930735,-88.5732312923039,30,-60,0,0,-17.4307813230834,0,1.13680079062179,
132,655,83.390273515122,7491.19601888025,7.18424297170731,4704.19603220629,73.8674890030449,-89.614509137584,30,-60,0,0,-17.5356082863342,0,1.13559269940805,
133,660,83.4194743112037,7486.60778547953,4.49378365539724,4669.48414914557,73.6960456600976,-90.6341284406556,30,-60,0,0,-17.6427949064019,0,1.13475250622279,
134,665,83.435057766851,7482.0578233018,1.73848860907026,4634.82257634473,73.519923480701,-91.6322097989903,30,-60,0,0,-17.7522945348246,0,1.13429384447985,
135,670,83.4367177696442,7477.5375328775,-1.07438700762958,4600.21145839218,73.3392818466503,-92.6089118698748,30,-60,0,0,-17.8640597901133,0,1.134238323342,
136,675,83.4241844193907,7473.03826068871,-3.93764861572743,4565.65123360694,73.1542760272286,-93.5644347762573,30,-60,0,0,-17.9780561325863,0,1.13458615696911,
137,680,83.3972238362227,7468.55106907579,-6.84403821773944,4531.14225138237,72.9650608375191,-94.4990084762376,30,-60,0,0,-18.0942411331118,0,1.13534578149628,
