v1,d1,v2,d2,v3,d3,v4,d4,v5,d5
1156.52295,35.72577,6589.39882,14.92389,6805.6653,9.02862,6884.30765,6.1652,6674.59471,5.15458
1123.7553,35.22046,6622.16647,14.5028,6838.43294,8.86018,6917.07529,5.99677,6707.36235,4.90193
1097.54119,34.71516,6654.93412,14.25014,6871.20059,8.60753,6949.84294,5.82833,6740.13,4.64928
1077.8806,34.20985,6687.70177,13.91327,6903.96824,8.43909,6982.61059,5.74411,6772.89765,4.39662
1064.77354,33.70454,6720.46941,13.5764,6936.73588,8.27066,7015.37824,5.57568,6805.6653,4.14397
1051.66648,33.19923,6753.23706,13.32375,6969.50353,8.018,7048.14588,5.40724,6838.43294,3.89131
7434.80412,11.55516,6786.00471,12.98687,7002.27118,7.93378,7080.91353,5.2388,6871.20059,3.63866
7474.12529,11.30251,6818.77235,12.65,7035.03882,7.76535,7113.68118,5.15458,6903.96824,3.386
7513.44647,11.30251,6851.54,12.39735,7067.80647,7.59691,7146.44882,5.07037,6936.73588,3.13335
1032.00589,32.69392,6884.30765,12.14469,7100.57412,7.42847,7179.21647,4.90193,6969.50353,2.79648
1005.79177,32.18861,6917.07529,11.80782,7133.34177,7.26004,7211.98412,4.81771,7002.27118,2.62804
973.02413,31.6833,6949.84294,11.55516,7166.10941,7.17582,7244.75177,4.73349,7035.03882,2.37539
933.70295,31.17799,6982.61059,11.30251,7198.87706,7.0916,7277.51941,4.64928,7067.80647,2.12273
894.38177,30.92534,7015.37824,11.04986,7231.64471,6.92317,7310.28706,4.56506,7100.57412,1.95429
855.0606,30.67268,7048.14588,10.88142,7264.41235,6.83895,7343.05471,4.56506,7133.34177,1.70164
5108.30118,47.4321,7080.91353,10.62876,7297.18,6.75473,7375.82235,4.48084,7166.10941,1.36477
5108.30118,46.92679,7113.68118,10.37611,7329.94765,6.67051,7408.59,4.48084,7198.87706,1.11211
5508.06647,37.83123,7146.44882,10.12346,7362.71529,6.58629,7441.35765,4.39662,7231.64471,0.77524
815.73942,30.7569,7179.21647,9.8708,7395.48294,6.50207,7474.12529,4.39662,7264.41235,0.52259
